Durete;% solutions;temps moyen (s)
31,10%;100%;0,2
31,50%;100%;0,9
31,80%;100%;1,8
32,20%;100%;3,8
32,50%;100%;3,5
32,90%;90%;8,3
33,20%;60%;8,9
33,60%;22%;13,7
33,90%;0%;9,2
34,30%;0%;5,7
34,60%;0%;5,3
34,90%;0%;5
