Durete;% solutions;temps moyen (s)
35,3%;0%;2,85876302
34,3%;0%;5,28615442
33,2%;10%;12,92291605
32,2%;87%;11,40489468
31,1%;100%;2,50481417
30,1%;100%;0,42180676
